Leaf_ID,Width_0,Width_1,Width_2,Width_3,Width_4,Width_5,Width_6,Width_7,Width_8,Width_9,Width_10,Width_11,Width_12,Width_13,Width_14,Width_15,Width_16
0,0.8125,2.75,4.0625,4.875,5.125,4.625,3.875,2.8125,0.75,,,,,,,,
1,0.625,1.0625,1.8125,2.5,3.3125,4,4.5625,5.1875,5.625,5.9375,5.9375,5.5625,5.125,4.625,4.125,3.5625,2.6875
2,1.6875,2,3,3.6875,4.125,4.5,4.8125,5.125,5.4375,5.625,5.75,5.6875,5.3125,5,4.3125,3.5,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.78125,3.40625,4.46875,5,4.875,4.25,3.34375,1.78125,,,,,,,,,
,0.84375,1.4375,2.15625,2.90625,3.65625,4.28125,4.875,5.40625,5.78125,5.9375,5.75,5.34375,4.875,4.375,3.84375,3.125,
,2,3,3.6875,4.125,4.5,4.8125,5.125,5.4375,5.625,5.75,5.75,5.6875,5.3125,5,4.3125,,
,,,,,,,,,,,,,,,,,
,Integrated_Area,Board_Area_Light,Board_Area_Dark,,,,,,,,,,,,,,
,43.359375,40.2962157795637,39.9357248442614,,,,,,,,,,,,,,
,96.890625,93.8628715479869,93.8988315003632,95.2473310396763,,,,,,,,,,,,,
,105.1875,97.0447397330364,105.906413172202,,,39.5833333333333,-0.087087087087087,,,,,,,,,,
,,,,,,93.5294117647059,-0.0346907993966817,,,,,,,,,,
,,0.929354165726874,0.921040140552336,0,,91.30078125,-0.13201871657754,,,,,,,,,,
,,0.968750811009702,0.969121950656869,0.983039701102932,,,,,,,,,,,,,
,,0.922588137687809,1.00683458749568,0,,,-8.45988676871029,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,-7.06458342731262,-7.89598594476643,-100,,,,,,,,,,,,,
,,-3.12491889902982,-3.08780493431313,-1.69602988970676,,,,,,,,,,,,,
,,-7.74118623121913,0.683458749568335,-100,,,,,,,,,,,,,
